Category: All categories

Month,data science: (United States)
2004-01,18
2004-02,14
2004-03,11
2004-04,7
2004-05,9
2004-06,5
2004-07,11
2004-08,6
2004-09,7
2004-10,6
2004-11,16
2004-12,9
2005-01,14
2005-02,11
2005-03,3
2005-04,13
2005-05,1
2005-06,4
2005-07,9
2005-08,6
2005-09,9
2005-10,7
2005-11,9
2005-12,1
2006-01,9
2006-02,7
2006-03,4
2006-04,5
2006-05,6
2006-06,7
2006-07,4
2006-08,6
2006-09,6
2006-10,7
2006-11,5
2006-12,4
2007-01,5
2007-02,11
2007-03,4
2007-04,11
2007-05,7
2007-06,5
2007-07,4
2007-08,7
2007-09,9
2007-10,7
2007-11,7
2007-12,7
2008-01,10
2008-02,6
2008-03,7
2008-04,6
2008-05,6
2008-06,4
2008-07,3
2008-08,7
2008-09,8
2008-10,7
2008-11,7
2008-12,5
2009-01,10
2009-02,7
2009-03,7
2009-04,6
2009-05,5
2009-06,5
2009-07,8
2009-08,6
2009-09,6
2009-10,6
2009-11,7
2009-12,9
2010-01,10
2010-02,7
2010-03,7
2010-04,7
2010-05,7
2010-06,6
2010-07,5
2010-08,6
2010-09,11
2010-10,9
2010-11,7
2010-12,7
2011-01,9
2011-02,9
2011-03,5
2011-04,6
2011-05,7
2011-06,5
2011-07,4
2011-08,7
2011-09,13
2011-10,10
2011-11,9
2011-12,6
2012-01,12
2012-02,9
2012-03,9
2012-04,10
2012-05,8
2012-06,7
2012-07,5
2012-08,10
2012-09,18
2012-10,13
2012-11,13
2012-12,10
2013-01,14
2013-02,12
2013-03,11
2013-04,13
2013-05,15
2013-06,10
2013-07,8
2013-08,15
2013-09,21
2013-10,18
2013-11,15
2013-12,17
2014-01,22
2014-02,21
2014-03,17
2014-04,17
2014-05,19
2014-06,15
2014-07,16
2014-08,26
2014-09,34
2014-10,28
2014-11,26
2014-12,23
2015-01,31
2015-02,29
2015-03,30
2015-04,33
2015-05,32
2015-06,27
2015-07,28
2015-08,35
2015-09,46
2015-10,40
2015-11,33
2015-12,33
2016-01,40
2016-02,39
2016-03,38
2016-04,39
2016-05,37
2016-06,37
2016-07,34
2016-08,43
2016-09,53
2016-10,45
2016-11,46
2016-12,44
2017-01,59
2017-02,54
2017-03,56
2017-04,59
2017-05,53
2017-06,51
2017-07,50
2017-08,62
2017-09,68
2017-10,65
2017-11,64
2017-12,59
2018-01,69
2018-02,64
2018-03,65
2018-04,74
2018-05,65
2018-06,58
2018-07,59
2018-08,72
2018-09,80
2018-10,81
2018-11,72
2018-12,60
2019-01,82
2019-02,82
2019-03,73
2019-04,83
2019-05,75
2019-06,76
2019-07,69
2019-08,87
2019-09,91
2019-10,93
2019-11,83
2019-12,73
2020-01,87
2020-02,91
2020-03,72
2020-04,76
2020-05,75
2020-06,74
2020-07,74
2020-08,83
2020-09,100
2020-10,75
2020-11,63
2020-12,59
2021-01,66
2021-02,65
